"Series";"Time";"Value"
"Temperature 1 Inside";"2017-06-30T02:00:00+02:00";17.56
"Temperature 1 Inside";"2017-07-01T02:00:00+02:00";17.258113207547165
"Temperature 1 Inside";"2017-07-02T02:00:00+02:00";17.703560606060606
"Temperature 1 Inside";"2017-07-03T02:00:00+02:00";18.499930555555554
"Temperature 1 Inside";"2017-07-04T02:00:00+02:00";19.802916666666665
"Temperature 1 Inside";"2017-07-05T02:00:00+02:00";21.262986111111115
"Temperature 1 Inside";"2017-07-06T02:00:00+02:00";22.955267857142854
"Temperature 1 Inside";"2017-07-07T02:00:00+02:00";24.397126436781612
"Temperature 1 Inside";"2017-07-08T02:00:00+02:00";23.22037037037037
"Temperature 1 Inside";"2017-07-09T02:00:00+02:00";23.599510489510493
"Temperature 1 Inside";"2017-07-10T02:00:00+02:00";22.439583333333335
"Temperature 1 Inside";"2017-07-11T02:00:00+02:00";20.3879020979021
"Temperature 1 Inside";"2017-07-12T02:00:00+02:00";17.366000000000003
"Temperature 1 Inside";"2017-07-13T02:00:00+02:00";17.226713286713288
"Temperature 1 Inside";"2017-07-14T02:00:00+02:00";17.758000000000003
"Temperature 1 Inside";"2017-07-15T02:00:00+02:00";17.142657342657348
"Temperature 1 Inside";"2017-07-16T02:00:00+02:00";18.75152777777777
"Temperature 1 Inside";"2017-07-17T02:00:00+02:00";21.338888888888896
"Temperature 1 Inside";"2017-07-18T02:00:00+02:00";22.282237762237767
"Temperature 1 Inside";"2017-07-19T02:00:00+02:00";24.555
"Temperature 1 Inside";"2017-07-20T02:00:00+02:00";21.263972602739727
"Temperature 1 Inside";"2017-07-21T02:00:00+02:00";21.93767605633802
"Temperature 1 Inside";"2017-07-22T02:00:00+02:00";22.89583333333334
"Temperature 1 Inside";"2017-07-23T02:00:00+02:00";19.961597222222217
"Temperature 1 Inside";"2017-07-24T02:00:00+02:00";16.66148148148148
"Temperature 1 Inside";"2017-07-25T02:00:00+02:00";15.067356321839085
"Temperature 1 Inside";"2017-07-26T02:00:00+02:00";14.998073394495409
"Temperature 1 Inside";"2017-07-27T02:00:00+02:00";17.94440476190476
"Temperature 1 Inside";"2017-07-28T02:00:00+02:00";17.298811881188122
"Temperature 1 Inside";"2017-07-29T02:00:00+02:00";20.481180555555557
"Temperature 1 Inside";"2017-07-30T02:00:00+02:00";22.55274647887324
"Temperature 1 Inside";"2017-07-31T02:00:00+02:00";23.928738738738733
"Temperature 1 Inside";"2017-08-01T02:00:00+02:00";23.940694444444446
"Temperature 1 Inside";"2017-08-02T02:00:00+02:00";23.00419999999999
"Temperature 1 Inside";"2017-08-03T02:00:00+02:00";22.29444444444445
"Temperature 1 Inside";"2017-08-04T02:00:00+02:00";20.78236641221374
"Temperature 1 Inside";"2017-08-05T02:00:00+02:00";21.051666666666662
"Temperature 1 Inside";"2017-08-06T02:00:00+02:00";19.107083333333335
"Temperature 1 Inside";"2017-08-07T02:00:00+02:00";19.840810810810815
"Temperature 1 Inside";"2017-08-08T02:00:00+02:00";19.464055944055943
"Temperature 1 Inside";"2017-08-09T02:00:00+02:00";20.5570588235294
"Temperature 1 Inside";"2017-08-10T02:00:00+02:00";17.241388888888892
"Temperature 1 Inside";"2017-08-11T02:00:00+02:00";15.329915254237296
"Temperature 1 Inside";"2017-08-12T02:00:00+02:00";16.043611111111105
"Temperature 1 Inside";"2017-08-13T02:00:00+02:00";17.861258741258744
"Temperature 1 Inside";"2017-08-14T02:00:00+02:00";19.98375
"Temperature 1 Inside";"2017-08-15T02:00:00+02:00";21.658677685950412
"Temperature 1 Inside";"2017-08-16T02:00:00+02:00";22.97432098765432
"Temperature 1 Inside";"2017-08-17T02:00:00+02:00";22.18857142857143
"Temperature 1 Inside";"2017-08-18T02:00:00+02:00";21.405106382978722
"Temperature 1 Inside";"2017-08-19T02:00:00+02:00";18.845460992907793
"Temperature 1 Inside";"2017-08-20T02:00:00+02:00";16.790774647887318
"Temperature 1 Inside";"2017-08-21T02:00:00+02:00";16.96812949640288
"Temperature 1 Inside";"2017-08-22T02:00:00+02:00";16.7558041958042
"Temperature 1 Inside";"2017-08-23T02:00:00+02:00";18.413629032258065
"Temperature 1 Inside";"2017-08-24T02:00:00+02:00";19.93277777777778
"Temperature 1 Inside";"2017-08-25T02:00:00+02:00";21.44286956521739
"Temperature 1 Inside";"2017-08-26T02:00:00+02:00";null
"Temperature 1 Inside";"2017-08-27T02:00:00+02:00";null
"Temperature 1 Inside";"2017-08-28T02:00:00+02:00";21.423333333333325
"Temperature 1 Inside";"2017-08-29T02:00:00+02:00";21.27201388888888
"Temperature 1 Inside";"2017-08-30T02:00:00+02:00";23.012638888888894
"Temperature 1 Inside";"2017-08-31T02:00:00+02:00";19.873333333333335
"Temperature 1 Inside";"2017-09-01T02:00:00+02:00";16.244615384615386
"Temperature 1 Inside";"2017-09-02T02:00:00+02:00";14.830704225352116
"Temperature 1 Inside";"2017-09-03T02:00:00+02:00";14.96881118881119
"Temperature 1 Inside";"2017-09-04T02:00:00+02:00";15.647847222222218
"Temperature 1 Inside";"2017-09-05T02:00:00+02:00";18.806500000000003
"Temperature 1 Inside";"2017-09-06T02:00:00+02:00";18.078455284552845
"Temperature 1 Inside";"2017-09-07T02:00:00+02:00";15.244236111111102
"Temperature 1 Inside";"2017-09-08T02:00:00+02:00";15.022695035460988
"Temperature 1 Inside";"2017-09-09T02:00:00+02:00";14.18112676056339
"Temperature 1 Inside";"2017-09-10T02:00:00+02:00";15.21482014388489
"Temperature 1 Inside";"2017-09-11T02:00:00+02:00";13.645763888888887
"Temperature 1 Inside";"2017-09-12T02:00:00+02:00";14.075384615384614
"Temperature 1 Inside";"2017-09-13T02:00:00+02:00";14.337588652482271
"Temperature 1 Inside";"2017-09-14T02:00:00+02:00";12.233680555555557
"Temperature 1 Inside";"2017-09-15T02:00:00+02:00";13.572464788732393
"Temperature 1 Inside";"2017-09-16T02:00:00+02:00";12.519510489510496
"Temperature 1 Inside";"2017-09-17T02:00:00+02:00";13.608273381294962
"Temperature 1 Inside";"2017-09-18T02:00:00+02:00";13.076338028169017
"Temperature 1 Inside";"2017-09-19T02:00:00+02:00";13.49826388888889
"Temperature 1 Inside";"2017-09-20T02:00:00+02:00";13.144233576642332
"Temperature 1 Inside";"2017-09-21T02:00:00+02:00";12.762986111111108
"Temperature 1 Inside";"2017-09-22T02:00:00+02:00";13.165486111111115
"Temperature 1 Inside";"2017-09-23T02:00:00+02:00";14.637569444444441
"Temperature 1 Inside";"2017-09-24T02:00:00+02:00";13.707916666666673
"Temperature 1 Inside";"2017-09-25T02:00:00+02:00";12.781450381679392
"Temperature 1 Inside";"2017-09-26T02:00:00+02:00";13.876971830985916
"Temperature 1 Inside";"2017-09-27T02:00:00+02:00";15.111041666666674
"Temperature 1 Inside";"2017-09-28T02:00:00+02:00";14.80661971830986
"Temperature 1 Inside";"2017-09-29T02:00:00+02:00";15.42433566433566
"Temperature 1 Inside";"2017-09-30T02:00:00+02:00";16.322682926829266
"Temperature 1 Inside";"2017-10-01T02:00:00+02:00";14.276153846153845
"Temperature 1 Inside";"2017-10-02T02:00:00+02:00";12.590559440559426
"Temperature 1 Inside";"2017-10-03T02:00:00+02:00";12.581180555555557
"Temperature 1 Inside";"2017-10-04T02:00:00+02:00";10.642424242424237
"Temperature 1 Inside";"2017-10-05T02:00:00+02:00";12.458018867924526
"Temperature 1 Inside";"2017-10-06T02:00:00+02:00";9.261805555555567
"Temperature 1 Inside";"2017-10-07T02:00:00+02:00";10.067272727272728
"Temperature 1 Inside";"2017-10-08T02:00:00+02:00";10.774895104895105
"Temperature 1 Inside";"2017-10-09T02:00:00+02:00";11.610624999999997
"Temperature 1 Inside";"2017-10-10T02:00:00+02:00";11.280769230769248
"Temperature 1 Inside";"2017-10-11T02:00:00+02:00";12.647560975609755
"Temperature 1 Inside";"2017-10-12T02:00:00+02:00";12.878925619834718
"Temperature 1 Inside";"2017-10-13T02:00:00+02:00";13.331736111111114
"Temperature 1 Inside";"2017-10-14T02:00:00+02:00";13.366808510638299
"Temperature 1 Inside";"2017-10-15T02:00:00+02:00";14.447202797202799
"Temperature 1 Inside";"2017-10-16T02:00:00+02:00";14.078169014084501
"Temperature 1 Inside";"2017-10-17T02:00:00+02:00";13.640972222222217
"Temperature 1 Inside";"2017-10-18T02:00:00+02:00";12.832361111111108
"Temperature 1 Inside";"2017-10-19T02:00:00+02:00";10.95671875
"Temperature 1 Inside";"2017-10-20T02:00:00+02:00";13.500209790209789
"Temperature 1 Inside";"2017-10-21T02:00:00+02:00";14.146338028169017
"Temperature 1 Inside";"2017-10-22T02:00:00+02:00";10.520000000000003
"Temperature 1 Inside";"2017-10-23T02:00:00+02:00";9.100780141843979
"Temperature 1 Inside";"2017-10-24T02:00:00+02:00";10.910486111111107
"Temperature 1 Inside";"2017-10-25T02:00:00+02:00";13.386993006993006
"Temperature 1 Inside";"2017-10-26T02:00:00+02:00";11.749305555555557
"Temperature 1 Inside";"2017-10-27T02:00:00+02:00";10.383680555555555
"Temperature 1 Inside";"2017-10-28T02:00:00+02:00";7.709020979020973
"Temperature 1 Inside";"2017-10-29T02:00:00+02:00";9.421311475409835
"Temperature 1 Inside";"2017-10-30T01:00:00+01:00";4.897849462365592
"Temperature 1 Inside";"2017-10-31T01:00:00+01:00";5.360277777777778
"Temperature 1 Inside";"2017-11-01T01:00:00+01:00";7.797746478873238
"Temperature 1 Inside";"2017-11-02T01:00:00+01:00";9.27027777777778
"Temperature 1 Inside";"2017-11-03T01:00:00+01:00";8.7225
"Temperature 1 Inside";"2017-11-04T01:00:00+01:00";7.32854166666667
"Temperature 1 Inside";"2017-11-05T01:00:00+01:00";7.823680555555558
"Temperature 1 Inside";"2017-11-06T01:00:00+01:00";5.7469444444444475
"Temperature 1 Inside";"2017-11-07T01:00:00+01:00";6.845
"Temperature 1 Inside";"2017-11-08T01:00:00+01:00";7.180208333333332
"Temperature 1 Inside";"2017-11-09T01:00:00+01:00";7.160347222222224
"Temperature 1 Inside";"2017-11-10T01:00:00+01:00";5.5955555555555545
"Temperature 1 Inside";"2017-11-11T01:00:00+01:00";5.109930555555557
"Temperature 1 Inside";"2017-11-12T01:00:00+01:00";3.5107638888888895
"Temperature 1 Inside";"2017-11-13T01:00:00+01:00";3.3465277777777778
"Temperature 1 Inside";"2017-11-14T01:00:00+01:00";0.6759027777777775
"Temperature 1 Inside";"2017-11-15T01:00:00+01:00";1.8820138888888893
