"Series";"Time";"Value"
"Weight 1";"2017-06-30T02:00:00+02:00";20.904
"Weight 1";"2017-07-01T02:00:00+02:00";13.169075471698104
"Weight 1";"2017-07-02T02:00:00+02:00";10.549189393939399
"Weight 1";"2017-07-03T02:00:00+02:00";10.804298611111111
"Weight 1";"2017-07-04T02:00:00+02:00";10.719527777777781
"Weight 1";"2017-07-05T02:00:00+02:00";10.777451388888892
"Weight 1";"2017-07-06T02:00:00+02:00";10.903955357142852
"Weight 1";"2017-07-07T02:00:00+02:00";10.48131034482759
"Weight 1";"2017-07-08T02:00:00+02:00";10.561822222222215
"Weight 1";"2017-07-09T02:00:00+02:00";10.22918881118881
"Weight 1";"2017-07-10T02:00:00+02:00";10.419687499999998
"Weight 1";"2017-07-11T02:00:00+02:00";10.266314685314686
"Weight 1";"2017-07-12T02:00:00+02:00";9.513314285714284
"Weight 1";"2017-07-13T02:00:00+02:00";9.737846153846155
"Weight 1";"2017-07-14T02:00:00+02:00";9.729462499999997
"Weight 1";"2017-07-15T02:00:00+02:00";9.820335664335664
"Weight 1";"2017-07-16T02:00:00+02:00";9.794368055555552
"Weight 1";"2017-07-17T02:00:00+02:00";9.776618055555563
"Weight 1";"2017-07-18T02:00:00+02:00";9.554930069930071
"Weight 1";"2017-07-19T02:00:00+02:00";9.582647058823525
"Weight 1";"2017-07-20T02:00:00+02:00";9.850095890410962
"Weight 1";"2017-07-21T02:00:00+02:00";9.893169014084506
"Weight 1";"2017-07-22T02:00:00+02:00";10.034743055555555
"Weight 1";"2017-07-23T02:00:00+02:00";10.035777777777778
"Weight 1";"2017-07-24T02:00:00+02:00";9.896500000000003
"Weight 1";"2017-07-25T02:00:00+02:00";9.650781609195398
"Weight 1";"2017-07-26T02:00:00+02:00";9.386889908256878
"Weight 1";"2017-07-27T02:00:00+02:00";9.280369047619047
"Weight 1";"2017-07-28T02:00:00+02:00";9.24769306930693
"Weight 1";"2017-07-29T02:00:00+02:00";9.097138888888887
"Weight 1";"2017-07-30T02:00:00+02:00";9.501232394366193
"Weight 1";"2017-07-31T02:00:00+02:00";10.276657657657656
"Weight 1";"2017-08-01T02:00:00+02:00";10.532902777777782
"Weight 1";"2017-08-02T02:00:00+02:00";10.354479999999999
